Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
"Layered Hills — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Layered Hills — an abstract hillside receding into calm, in sage, oat, clay and charcoal.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Ensō — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Ensō — the incomplete brush circle, drawn in a single breath. The gap at the rim is the point.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Seigaiha — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Seigaiha — overlapping wave scales, among the oldest calm in Japanese design. Still water, made pattern.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Sun Arcs — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Sun Arcs — warm rising arches. Quietly optimistic.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Ink Brush — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Ink Brush — confident vertical sumi strokes. The calligrapher's calm, on repeat.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Indigo Shibori — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Indigo Shibori — clouded resist-dye indigo. The one deep colour that still whispers.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Neutral Mudcloth — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Neutral Mudcloth — hand-drawn marks in a warm neutral. Global craft, quietly done.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
"Limewash — Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Limewash — a soft, mottled plaster texture. A quiet statement wall with no hard line.  An original Calm & Oak design, printed to order on museum-quality matte paper (also on canvas & framed). Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Multiple sizes; unframed, canvas, or framed options. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Poster/Canvas/Framed],,yes
Seigaiha Japandi Mug — Minimalist Neutral Ceramic 11oz | Calm & Oak,"Seigaiha — overlapping wave scales, among the oldest calm in Japanese design. Still water, made pattern.  An original Calm & Oak design, printed to order on a ceramic 11oz mug. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Dishwasher & microwave safe. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Mug 11oz],,yes
Ensō Japandi Mug — Minimalist Neutral Ceramic 11oz | Calm & Oak,"Ensō — the incomplete brush circle, drawn in a single breath. The gap at the rim is the point.  An original Calm & Oak design, printed to order on a ceramic 11oz mug. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Dishwasher & microwave safe. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Mug 11oz],,yes
Sun Arcs Japandi Mug — Minimalist Neutral Ceramic 11oz | Calm & Oak,"Sun Arcs — warm rising arches. Quietly optimistic.  An original Calm & Oak design, printed to order on a ceramic 11oz mug. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Dishwasher & microwave safe. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Mug 11oz],,yes
Neutral Mudcloth Japandi Mug — Minimalist Neutral Ceramic 11oz | Calm & Oak,"Neutral Mudcloth — hand-drawn marks in a warm neutral. Global craft, quietly done.  An original Calm & Oak design, printed to order on a ceramic 11oz mug. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Dishwasher & microwave safe. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Mug 11oz],,yes
Seigaiha Japandi Tote Bag — Minimalist Canvas Shopper | Calm & Oak,"Seigaiha — overlapping wave scales, among the oldest calm in Japanese design. Still water, made pattern.  An original Calm & Oak design, printed to order on a natural cotton tote. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Roomy everyday carry. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Tote bag],,yes
Ensō Japandi Tote Bag — Minimalist Canvas Shopper | Calm & Oak,"Ensō — the incomplete brush circle, drawn in a single breath. The gap at the rim is the point.  An original Calm & Oak design, printed to order on a natural cotton tote. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Roomy everyday carry. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Tote bag],,yes
Ink Brush Japandi Tote Bag — Minimalist Canvas Shopper | Calm & Oak,"Ink Brush — confident vertical sumi strokes. The calligrapher's calm, on repeat.  An original Calm & Oak design, printed to order on a natural cotton tote. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Roomy everyday carry. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Tote bag],,yes
Neutral Mudcloth Japandi Tote Bag — Minimalist Canvas Shopper | Calm & Oak,"Neutral Mudcloth — hand-drawn marks in a warm neutral. Global craft, quietly done.  An original Calm & Oak design, printed to order on a natural cotton tote. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Roomy everyday carry. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Tote bag],,yes
Seigaiha Japandi Notebook — Minimalist Lined Journal | Calm & Oak,"Seigaiha — overlapping wave scales, among the oldest calm in Japanese design. Still water, made pattern.  An original Calm & Oak design, printed to order on a lined notebook. Part of the Calm & Oak Home Collection — patterns drawn in-house where Japanese restraint meets Scandinavian warmth. Softcover, lined pages. Made to order, so nothing is wasted.  — Calm & Oak",[select in Gelato: Notebook],,yes
