Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
"Layered Hills — Abstract Landscape Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Layered Hills — original abstract landscape wall art. An abstract calm landscape in sage, oat, clay and charcoal — the collection's statement piece. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-layered-hills.png,yes
"Rising Sun — Boho Arch Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Rising Sun — original boho arch wall art. Concentric warm terracotta arcs — the boho-Japandi rising-sun everyone's searching for. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-rising-sun.png,yes
"Tonal Horizon — Colour-Field Landscape Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Tonal Horizon — original colour-field landscape wall art. A minimalist colour-field landscape — quiet bands of sage, sand and terracotta. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-tonal-horizon.png,yes
"Mountain — Layered Peaks Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Mountain — original layered peaks wall art. Layered peaks under a low sun — calm, grounded, Japandi. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-mountain.png,yes
"Moon Phases — Celestial Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Moon Phases — original celestial wall art. Five phases in quiet negative space — a timeless celestial print. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-moon-phases.png,yes
"Sun & Moon — Celestial Pair Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Sun & Moon — original celestial pair wall art. A warm sun and a quiet crescent — the celestial pair. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-sun-moon.png,yes
"Arch — Modern Arch Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Arch — original modern arch wall art. A single modern terracotta arch — architectural calm. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-arch.png,yes
"Balance — Stacked Stones Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Balance — original stacked stones wall art. Stacked stones, perfectly balanced — the discipline piece. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-balance.png,yes
"Vessel — Stoneware Vase Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Vessel — original stoneware vase wall art. A stoneware vase and a single stem — quiet Japandi still life. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-vessel.png,yes
"Ink Horizon — Sumi Brushstroke Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Ink Horizon — original sumi brushstroke wall art. One confident sumi brushstroke and a small sun — minimalist ink. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-ink-horizon.png,yes
"Single Stem — Botanical Line Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Single Stem — original botanical line wall art. One botanical line in open space — calm and simple. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-single-stem.png,yes
"Pampas — Dried Grass Japandi Wall Art Print, Minimalist Neutral | Calm & Oak","Pampas — original dried grass wall art. Tall pampas plumes — warm, autumnal, boho-Japandi. Printed to order on museum-quality 250gsm matte paper (also on canvas & framed); sizes from 8x10 to 24x36. Part of the Calm & Oak Home Collection, designed in-house. Made to order. Keywords: japandi, wabi sabi, minimalist wall art, neutral wall art, boho, scandinavian, organic modern, calm home, japanese art, mid century, earthy, zen.",,https://raw.githubusercontent.com/Cammyboy11/calmandoak/main/assets/img/print-files/poster-pampas.png,yes
